,City,Title,Company,Location,Summary,Salary,URL
255,Seattle,Crime Analyst - Metro,King County,"Seattle, WA 98108 (Georgetown area)","A Bachelor's degree with emphasis on math, statistics, criminal justice, behavioral science or other related field AND a minimum of three years of increasingly...",,http://indeed.com/rc/clk?jk=cdd6eb1343cafe1a&fccid=632d2a253ffbf4f9&vjs=3
256,Seattle,Human Resources Assistant,CorneaGen,"Seattle, WA","Responds to phone calls and requests for information. Provides support to ensure compliance with local, state, and federal employment laws and regulations....",,http://indeed.com/rc/clk?jk=60898bc2920d670c&fccid=2d67186f975c7819&vjs=3
257,Seattle,Community Engagement Specialist,City of Seattle,"Seattle, WA","Per the police accountability legislation enacted in 2017, the CPC is charged with engaging the community to develop recommendations on the police...",,http://indeed.com/rc/clk?jk=60b3d6e96897c9b0&fccid=7ab02d0382dcd5b4&vjs=3
258,Seattle,Administrative Assistant,Department of the Navy,"Keyport, WA","The incumbent must use independent judgment, tact and discretion for successful performance of the work, as responsibilities may include receiving incoming...",,http://indeed.com/rc/clk?jk=d9f9abe1886ddb42&fccid=91388bf968bdfcad&vjs=3
259,Seattle,Customer Care Concierge for Northwest Center Services @ Amazon,Northwest Center,"Seattle, WA 98108 (Georgetown area)","Answer upwards of 100 incoming telephone calls daily. Ability to respond tactfully, deescalate difficult calls and provide the caller the best resource to...",,http://indeed.com/rc/clk?jk=6c0604feebf40d15&fccid=bc989efc659edb1d&vjs=3
260,Seattle,Recruiting Coordinator,Facebook,"Seattle, WA","Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart....",,http://indeed.com/rc/clk?jk=b4277ff0e7f624e7&fccid=1639254ea84748b5&vjs=3
261,Seattle,Transportation Security Officer (TSO),Transportation Security Administration,"Seattle, WA","Applicants must not have delinquent Federal or State taxes, past due child support payments, and must not have defaulted on $7,500 or more in delinquent debt ...",,http://indeed.com/rc/clk?jk=4cfd71c7d2e836a8&fccid=e86212ad9b1d3808&vjs=3
262,Seattle,Accountant,U.S. Federal Government,"Seattle, WA","Submit certification from the armed forces documenting active duty dates, expected discharge/release date, campaign medals/badges, and character of service (a...",,http://indeed.com/rc/clk?jk=a6d5d62f53a966ec&fccid=662289e1e3aea148&vjs=3
263,Seattle,Executive Assistant,City of Seattle,"Seattle, WA","Manage IG scheduling, field phone calls, and coordinate various aspects of inter- and intra-departmental communication as necessary....",,http://indeed.com/rc/clk?jk=627f028eca65804d&fccid=7ab02d0382dcd5b4&vjs=3
264,Seattle,Filmmaker,Cognizant,"Seattle, WA","We reflect social drivers that fuel innovation. You will develop scripts with writers, direct, and oversee production and post with our amazing collaborative...",,http://indeed.com/rc/clk?jk=96c23f8492afc3a3&fccid=2df6a1e69a70a1e7&vjs=3
265,Seattle,ADMINISTRATIVE ASSISTANT,ABM Industries,"Seattle, WA 98144 (Mount Baker area)","Visitors, answer phone and direct calls. Provide receptionist services, greet and assist. Preparation of cash applications for data entry and....",,http://indeed.com/rc/clk?jk=8325c1d7babd641a&fccid=dcf22ae3c1cdd701&vjs=3
266,Seattle,Business and Finance Officer I,King County,"Seattle, WA","Review and submit payroll to ensure the appropriate disposition of regular pay, premium pay, special duty pay, termination of pay in accordance with applicable...",,http://indeed.com/rc/clk?jk=e45c6fdb9e8f0abf&fccid=632d2a253ffbf4f9&vjs=3
267,Seattle,Staff Analyst,BOEING,"Seattle, WA","Leads the design, logistics and facilitation of large meetings/events. Applicants must reside in area or be willing to relocate at their own expense....",,http://indeed.com/rc/clk?jk=53229246b0ee872f&fccid=edae4285faf6c2f0&vjs=3
268,Seattle,"Executive Assistant, Marketplace Abuse",Amazon.com,"Seattle, WA","Bachelors Degree in business or related field, preferred. Amazon Marketplace enables businesses to put their products in front of hundreds of millions of...",,http://indeed.com/rc/clk?jk=888b440dda6a663c&fccid=fe2d21eef233e94a&vjs=3
269,Seattle,Administrative Specialist B,Kaiser Permanente,"Seattle, WA","May answer telephone inquiries, takes and relays messages and greets visitors but usually directs others doing this work....",,http://indeed.com/rc/clk?jk=e08cbab3bb74600e&fccid=48ecd526e3aa3225&vjs=3
270,Seattle,Administrative Specialist 3,King County,"Seattle, WA","We want you to work collaboratively to build relationships with a variety of work-groups, including your peers, consultants and contractors;...",,http://indeed.com/rc/clk?jk=73378c7d433499ba&fccid=632d2a253ffbf4f9&vjs=3
271,Seattle,"Sound Designer, Oculus",Facebook,"Seattle, WA","Your skill with sound design, foley, and implementation will raise and define the bar for VR sound. You are an expert with your tools of choice and possess both...",,http://indeed.com/rc/clk?jk=5be455d93ccb9bcf&fccid=1639254ea84748b5&vjs=3
272,Seattle,Floor Staff,Regal Entertainment Group,"Bellevue, WA",Responding to phone calls and questions from guests in a manner that is consistent with our guest service philosophy....,,http://indeed.com/rc/clk?jk=e7d036c292098f10&fccid=211fdda24ec99c2f&vjs=3
273,Seattle,Hourly Administrative Office Assistant,Seattle Community Colleges,"Seattle, WA",Perform data entry of admission materials and immigration documents. This position is responsible for providing clerical assistance to the international...,,http://indeed.com/rc/clk?jk=79f2f305bb0a770f&fccid=b7f26dc9e5e238bb&vjs=3
274,Seattle,American Eagle Outfitters - Sales Associate,American Eagle Outfitters,"Seattle, WA",Perform register sales transactions quickly and accurately in accordance with established cash control procedures and customer service guidelines....,,http://indeed.com/rc/clk?jk=8ae8d4b3634812d7&fccid=dc736c3075273e2c&vjs=3
275,Seattle,ADMINISTRATIVE ASSISTANT 3,University of Washington,"Seattle, WA","Greet all walk-ins and answer general questions, direct traffic, assist Dean’s Office visitors with appointments and those looking for direction or assistance;...",,http://indeed.com/rc/clk?jk=5e0161dd228227e1&fccid=142783ac2edbe56b&vjs=3
276,Seattle,Security Officer - Security,"Swedish Medical Center - Seattle, WA","Seattle, WA 98194 (Downtown area)",Valid Washington State Driver’s license. Swedish/First Hill has one of the most active and advanced birthing programs in Washington state and houses a Level III...,,http://indeed.com/rc/clk?jk=d1a9082bfec4b23f&fccid=946050c7aadef83e&vjs=3
277,Seattle,BW Supply Attendant,Delta Air Lines,"Seattle, WA",Must have a valid driver's license. Responsible for safe operation of mechanical and manual material handling equipment;...,,http://indeed.com/rc/clk?jk=4d0a34e0eee77c91&fccid=af0caae05772d1fa&vjs=3
278,Seattle,Supervisor - Airport Operations,United Airlines Inc.,"Seattle, WA",Develop and implement standard work and continuous improvement processes. Provide technical guidance and interpret company guidelines and procedures and/or...,,http://indeed.com/rc/clk?jk=9d564a890adf5f1e&fccid=e69f69636a9997cd&vjs=3
279,Seattle,Help Wanted,Seattle Vault Self Storage,"Seattle, WA 98101 (Downtown area)","Now hiring at 1800 Terry Ave,...",,http://indeed.com/rc/clk?jk=f824bd0045ac667e&fccid=081877183f7152c0&vjs=3
280,Seattle,Legislative Records Specialist,King County,"Seattle, WA","The ideal candidate will be a certified Public Records Officer with the ability to exercise sound, independent judgment;...",,http://indeed.com/rc/clk?jk=9cfc0d7c1a3467b1&fccid=632d2a253ffbf4f9&vjs=3
